,Country,Date,value
77148,Hungary,01/01/11,22841.21
77149,Hungary,01/01/12,23094.47
77150,Hungary,01/01/13,24464.14
77151,Hungary,01/01/14,25518.23
77152,Hungary,01/01/15,26356.31
77153,Hungary,01/01/16,26851.62
77154,Hungary,01/01/17,28798.64
77155,Iceland,01/01/90,21626.19
77156,Iceland,01/01/91,22050.48
77157,Iceland,01/01/92,21519.94
77158,Iceland,01/01/93,22093.36
77159,Iceland,01/01/94,23177.7
77160,Iceland,01/01/95,23563.11
77161,Iceland,01/01/96,24427.12
77162,Iceland,01/01/97,26796.57
77163,Iceland,01/01/98,28551.81
77164,Iceland,01/01/99,29344.43
77165,Iceland,01/01/00,29458.12
77166,Iceland,01/01/01,31507.91
77167,Iceland,01/01/02,32219.72
77168,Iceland,01/01/03,32340.4
77169,Iceland,01/01/04,35319.99
77170,Iceland,01/01/05,36965.14
77171,Iceland,01/01/06,38712.99
77172,Iceland,01/01/07,40787.15
77173,Iceland,01/01/08,42721.16
77174,Iceland,01/01/09,41203.35
77175,Iceland,01/01/10,39576.97
77176,Iceland,01/01/11,40767.24
77177,Iceland,01/01/12,41926.34
77178,Iceland,01/01/13,44157.55
77179,Iceland,01/01/14,45714.89
77180,Iceland,01/01/15,48728.1
77181,Iceland,01/01/16,52582.29
77182,Iceland,01/01/17,55322.08
77183,Ireland,01/01/90,13738.27
77184,Ireland,01/01/91,14393.95
77185,Ireland,01/01/92,15110.72
77186,Ireland,01/01/93,15806.04
77187,Ireland,01/01/94,17005.59
77188,Ireland,01/01/95,18937.56
77189,Ireland,01/01/96,20479.17
77190,Ireland,01/01/97,22625.58
77191,Ireland,01/01/98,25059.45
77192,Ireland,01/01/99,26995.2
77193,Ireland,01/01/00,30178
77194,Ireland,01/01/01,32545.57
77195,Ireland,01/01/02,35210.86
77196,Ireland,01/01/03,36237.86
77197,Ireland,01/01/04,38669.14
77198,Ireland,01/01/05,40438.11
77199,Ireland,01/01/06,44205.39
77200,Ireland,01/01/07,46759.64
77201,Ireland,01/01/08,44280.69
77202,Ireland,01/01/09,41620.83
77203,Ireland,01/01/10,43292.15
77204,Ireland,01/01/11,44937.56
77205,Ireland,01/01/12,46283.12
77206,Ireland,01/01/13,47966.91
77207,Ireland,01/01/14,51192.4
77208,Ireland,01/01/15,68959.55
77209,Ireland,01/01/16,70925.76
77210,Ireland,01/01/17,76744.71
77211,Italy,01/01/90,18547.41
77212,Italy,01/01/91,19456.17
